Item Number,Description,Color,Cost,Image URL,,,
FOLL,Fiber Optic Lamp,,275,https://drive.google.com/file/d/1Bdwm4wRmtKG14T3IIBNTGVT57R4SbIoe/view?usp=share_link,,,
MBUBPR,Mini Bubbler,Purple/Red,175,https://drive.google.com/file/d/1xEhuEDyjO3VfDsuHTTw06I2KsWo8cS12/view?usp=share_link,,,
MBUBBY,Mini Bubbler,Blue/Yellow,175,https://drive.google.com/file/d/1xEhuEDyjO3VfDsuHTTw06I2KsWo8cS12/view?usp=share_link,,,
MBUBGP,Mini Bubbler,Green/Pink,175,https://drive.google.com/file/d/1xEhuEDyjO3VfDsuHTTw06I2KsWo8cS12/view?usp=share_link,,,
MBUBBP,Mini Bubbler,Blue/Pink,175,https://drive.google.com/file/d/1xEhuEDyjO3VfDsuHTTw06I2KsWo8cS12/view?usp=share_link,,,
FISLU,Fidget Slug,,15,https://drive.google.com/file/d/19CzTuJ2crJDaLGwrSKJCz433AFL4vLWj/view?usp=share_link,,,
FRISB,Flying Disk,,10,https://drive.google.com/file/d/1nBno9Ew84JMaSEYzaPvsEXrHLu8HzSHF/view?usp=share_link,,,
SPIWAT,Spiderman Watch,,500,https://drive.google.com/file/d/19U63rsPE5kdns2XDJ6Yyhc7t6Z_72xWT/view?usp=share_link,,,
TROWAT,Trolls Watch,,500,https://drive.google.com/file/d/1x61_Ukatc2CToKpNJF4w7vluGlzD4hFs/view?usp=share_link,,,
BOHPL,Boh Plush,,500,https://drive.google.com/file/d/1GosvUuQIfCg9yD2-v0rft8a_BePZnIrY/view?usp=share_link,,,
GLSLK,Glitter Slime Kit,,100,https://drive.google.com/file/d/1W_p3uBmGxgAvN3IlHXSJQps-ejAVmej7/view?usp=share_link,,,
MINISB,Mini Skateboard,,1,https://drive.google.com/file/d/1S1RDdleEfTF7qE06KYfyRe4x3ai0NAuh/view?usp=share_link,,,
MINICR,Mini Cars,Red,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICO,Mini Cars,Orange,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICY,Mini Cars,Yellow,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICB,Mini Cars,Blue,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICG,Mini Cars,Green,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
MINICP,Mini Cars,Purple,3,https://drive.google.com/file/d/1XpCt03UN8eIUqOk16N8NvbfuTaCmDtOZ/view?usp=share_link,,,
BOUUNIPI,Unicorn Bouncy Balls,Pink,1,https://drive.google.com/file/d/1R8GWNztlF8U4c8NX6P00lJQy9CAtN-O-/view?usp=share_link,,,
BOUUNIPU,Unicorn Bouncy Balls,Purple,1,https://drive.google.com/file/d/1R8GWNztlF8U4c8NX6P00lJQy9CAtN-O-/view?usp=share_link,,,
BOUUNIB,Unicorn Bouncy Balls,Blue,1,https://drive.google.com/file/d/1R8GWNztlF8U4c8NX6P00lJQy9CAtN-O-/view?usp=share_link,,,
PLAY4,Playstation 4,,8500,https://drive.google.com/file/d/13pl2wIt9n4z5LhGrWqekuh7Nrr5uIYxP/view?usp=share_link,,,
PLAY5,Playstation 5,,10000,https://drive.google.com/file/d/18D96G-a5ZFAoSkX9LnC7wq2dYSOh0aod/view?usp=share_link,,,
XBOX,XBOX,,7500,https://drive.google.com/file/d/16wMF_cAeUXSic9AG9b1ThHSxR70wNGMn/view?usp=share_link,,,
SWITCH,Nintendo Switch,,8000,https://drive.google.com/file/d/16wMF_cAeUXSic9AG9b1ThHSxR70wNGMn/view?usp=share_link,,,
